pseudoprofile_id,domain,n_runs,n_union_features_domain,topN_exported,mean_presence_frequency_topN,mean_mean_rank_topN,mean_mean_score_topN
pseudoprofile_FTC_ID018,BIO,5,57,57,0.5333333333333333,110.42192964386521,0.19882789280330926
pseudoprofile_FTC_ID022,BIO,5,28,28,0.5285714285714285,92.85119063513619,0.1969475687614509
pseudoprofile_FTC_ID008,BIO,5,23,23,0.5130434782608694,111.1666666528453,0.19713250774404276
pseudoprofile_FTC_ID024,BIO,5,10,10,0.5,66.17333335876465,0.22316493839025497
pseudoprofile_FTC_ID010,BIO,5,11,11,0.4727272727272727,119.66515211625533,0.20875522629781204
pseudoprofile_FTC_ID015,BIO,5,6,6,0.4333333333333334,132.1944440205892,0.1955989549557368
pseudoprofile_FTC_ID017,BIO,5,7,7,0.4,86.5,0.2046134855066027
pseudoprofile_FTC_ID036,BIO,5,1,1,0.4,107.5,0.2057790458202362
pseudoprofile_FTC_ID016,BIO,5,13,13,0.4,114.93589738699106,0.20353412972046778
pseudoprofile_FTC_ID045,BIO,5,8,8,0.4,157.75,0.20371533371508121
pseudoprofile_FTC_ID042,BIO,5,3,3,0.39999999999999997,113.16666666666667,0.2176160862048467
pseudoprofile_FTC_ID049,BIO,5,18,18,0.3555555555555556,123.93981509738498,0.201394851009051
pseudoprofile_FTC_ID039,BIO,5,3,3,0.3333333333333333,131.77777862548828,0.20101726055145264
pseudoprofile_FTC_ID004,BIO,5,3,3,0.3333333333333333,166.33333333333334,0.2010592371225357
pseudoprofile_FTC_ID028,BIO,5,4,4,0.25,131.875,0.20478848740458488
pseudoprofile_FTC_ID027,BIO,5,4,4,0.25,137.0,0.20459382236003876
pseudoprofile_FTC_ID009,BIO,5,2,2,0.2,98.5,0.20194990932941437
pseudoprofile_FTC_ID019,BIO,5,1,1,0.2,107.0,0.19868943095207214
pseudoprofile_FTC_ID014,BIO,5,1,1,0.2,115.0,0.20699140429496765
pseudoprofile_FTC_ID037,BIO,5,1,1,0.2,148.0,0.21143017709255219
pseudoprofile_FTC_ID023,BIO,5,1,1,0.2,152.0,0.19102276861667633
pseudoprofile_FTC_ID011,BIO,5,1,1,0.2,165.0,0.20855490863323212
pseudoprofile_FTC_ID035,BIO,5,5,5,0.2,170.4,0.20136711299419402
