alg,seed,K,recall_at_k,precision_at_k,f1,mrr,branches_with_true_cause,bio_recovered,psycho_recovered,social_recovered,domain_coverage_any,true_recovered,rank_first,rank_all_true
Domain-balanced random,92,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
Random,92,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
BFS-3phase,92,8,1.0,0.375,0.5454545454545454,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,92,8,0.6666666666666666,0.25,0.36363636363636365,0.38095238095238093,2.0,1.0,1.0,0.0,2,2,1,9
Mapping-only,92,8,0.3333333333333333,0.125,0.18181818181818182,0.16666666666666666,1.0,1.0,0.0,0.0,1,1,2,9
Domain-balanced random,92,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
Random,92,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
BFS-3phase,92,12,1.0,0.25,0.4,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,92,12,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.38095238095238093,2.0,1.0,1.0,0.0,2,2,1,13
Mapping-only,92,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.16666666666666666,1.0,1.0,0.0,0.0,1,1,2,13
Domain-balanced random,92,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
Random,92,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
BFS-3phase,93,3,1.0,1.0,1.0,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,93,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Mapping-only,93,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Domain-balanced random,93,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
Random,93,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,4,4
BFS-3phase,93,5,1.0,0.6,0.7499999999999999,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,93,5,0.6666666666666666,0.4,0.5,0.39999999999999997,2.0,1.0,0.0,1.0,2,2,1,6
Mapping-only,93,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Domain-balanced random,93,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
Random,93,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
BFS-3phase,93,8,1.0,0.375,0.5454545454545454,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,93,8,1.0,0.375,0.5454545454545454,0.45555555555555555,3.0,1.0,1.0,1.0,3,3,1,6
Mapping-only,93,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,9
Domain-balanced random,93,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
Random,93,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
BFS-3phase,93,12,1.0,0.25,0.4,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,93,12,1.0,0.25,0.4,0.45555555555555555,3.0,1.0,1.0,1.0,3,3,1,6
Mapping-only,93,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,13
Domain-balanced random,93,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
Random,93,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
BFS-3phase,94,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,2.0,1.0,1.0,0.0,3,2,1,4
Greedy-top-K,94,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Mapping-only,94,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Domain-balanced random,94,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
Random,94,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,4,4
BFS-3phase,94,5,0.6666666666666666,0.4,0.5,0.5,2.0,1.0,1.0,0.0,3,2,1,6
Greedy-top-K,94,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Mapping-only,94,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Domain-balanced random,94,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
Random,94,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,6,6
BFS-3phase,94,8,1.0,0.375,0.5454545454545454,0.5555555555555556,3.0,1.0,1.0,1.0,3,3,1,6
Greedy-top-K,94,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,9
Mapping-only,94,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,9
Domain-balanced random,94,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
Random,94,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
BFS-3phase,94,12,1.0,0.25,0.4,0.5555555555555556,3.0,1.0,1.0,1.0,3,3,1,6
Greedy-top-K,94,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,13
Mapping-only,94,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,13
Domain-balanced random,94,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
Random,94,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
BFS-3phase,95,3,1.0,1.0,1.0,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,95,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Mapping-only,95,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4,4
Domain-balanced random,95,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
Random,95,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,4,4
BFS-3phase,95,5,1.0,0.6,0.7499999999999999,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,95,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Mapping-only,95,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6,6
Domain-balanced random,95,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
Random,95,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
BFS-3phase,95,8,1.0,0.375,0.5454545454545454,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,95,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,9
Mapping-only,95,8,0.3333333333333333,0.125,0.18181818181818182,0.05555555555555555,1.0,1.0,0.0,0.0,1,1,6,9
Domain-balanced random,95,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
Random,95,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
BFS-3phase,95,12,1.0,0.25,0.4,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,95,12,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.3636363636363636,2.0,1.0,1.0,0.0,2,2,1,13
Mapping-only,95,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.05555555555555555,1.0,1.0,0.0,0.0,1,1,6,13
Domain-balanced random,95,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
Random,95,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
BFS-3phase,96,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,2.0,1.0,1.0,0.0,3,2,1,4
Greedy-top-K,96,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Mapping-only,96,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Domain-balanced random,96,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
Random,96,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,4,4
BFS-3phase,96,5,0.6666666666666666,0.4,0.5,0.5,2.0,1.0,1.0,0.0,3,2,1,6
Greedy-top-K,96,5,0.6666666666666666,0.4,0.5,0.4166666666666667,2.0,1.0,1.0,0.0,2,2,1,6
Mapping-only,96,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Domain-balanced random,96,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
Random,96,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
BFS-3phase,96,8,0.6666666666666666,0.25,0.36363636363636365,0.5,2.0,1.0,1.0,0.0,3,2,1,9
Greedy-top-K,96,8,0.6666666666666666,0.25,0.36363636363636365,0.4166666666666667,2.0,1.0,1.0,0.0,2,2,1,9
Mapping-only,96,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,9
Domain-balanced random,96,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
Random,96,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
BFS-3phase,96,12,1.0,0.25,0.4,0.5277777777777778,3.0,1.0,1.0,1.0,3,3,1,12
Greedy-top-K,96,12,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.4166666666666667,2.0,1.0,1.0,0.0,2,2,1,13
Mapping-only,96,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,2,1,1,13
Domain-balanced random,96,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
Random,96,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
BFS-3phase,97,3,1.0,1.0,1.0,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,97,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,2.0,1.0,1.0,0.0,2,2,1,4
Mapping-only,97,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4,4
Domain-balanced random,97,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
Random,97,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,4,4
BFS-3phase,97,5,1.0,0.6,0.7499999999999999,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,97,5,0.6666666666666666,0.4,0.5,0.5,2.0,1.0,1.0,0.0,2,2,1,6
Mapping-only,97,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6,6
Domain-balanced random,97,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
Random,97,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,6,6
BFS-3phase,97,8,1.0,0.375,0.5454545454545454,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,97,8,0.6666666666666666,0.25,0.36363636363636365,0.5,2.0,1.0,1.0,0.0,2,2,1,9
Mapping-only,97,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,9,9
Domain-balanced random,97,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
Random,97,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
BFS-3phase,97,12,1.0,0.25,0.4,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,97,12,1.0,0.25,0.4,0.5277777777777778,3.0,1.0,1.0,1.0,3,3,1,12
Mapping-only,97,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,13,13
Domain-balanced random,97,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
Random,97,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
BFS-3phase,98,3,1.0,1.0,1.0,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,98,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4444444444444444,2.0,1.0,1.0,0.0,2,2,1,4
Mapping-only,98,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Domain-balanced random,98,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
Random,98,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
BFS-3phase,98,5,1.0,0.6,0.7499999999999999,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,98,5,0.6666666666666666,0.4,0.5,0.4444444444444444,2.0,1.0,1.0,0.0,2,2,1,6
Mapping-only,98,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Domain-balanced random,98,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
Random,98,5,0.3333333333333333,0.2,0.25,0.16666666666666666,1.0,0.0,0.0,1.0,3,1,2,6
BFS-3phase,98,8,1.0,0.375,0.5454545454545454,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,98,8,0.6666666666666666,0.25,0.36363636363636365,0.4444444444444444,2.0,1.0,1.0,0.0,2,2,1,9
Mapping-only,98,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,9
Domain-balanced random,98,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
Random,98,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
BFS-3phase,98,12,1.0,0.25,0.4,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,98,12,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.4444444444444444,2.0,1.0,1.0,0.0,2,2,1,13
Mapping-only,98,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,13
Domain-balanced random,98,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
Random,98,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
BFS-3phase,99,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4444444444444444,2.0,1.0,0.0,1.0,3,2,1,4
Greedy-top-K,99,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Mapping-only,99,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Domain-balanced random,99,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
Random,99,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,4,4
BFS-3phase,99,5,0.6666666666666666,0.4,0.5,0.4444444444444444,2.0,1.0,0.0,1.0,3,2,1,6
Greedy-top-K,99,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Mapping-only,99,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Domain-balanced random,99,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
Random,99,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
BFS-3phase,99,8,1.0,0.375,0.5454545454545454,0.4861111111111111,3.0,1.0,1.0,1.0,3,3,1,8
Greedy-top-K,99,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,9
Mapping-only,99,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,9
Domain-balanced random,99,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
Random,99,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
BFS-3phase,99,12,1.0,0.25,0.4,0.4861111111111111,3.0,1.0,1.0,1.0,3,3,1,8
Greedy-top-K,99,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,13
Mapping-only,99,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,13
Domain-balanced random,99,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
Random,99,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
