alg,seed,K,recall_at_k,precision_at_k,f1,mrr,branches_with_true_cause,bio_recovered,psycho_recovered,social_recovered,domain_coverage_any,true_recovered,rank_first,rank_all_true
Greedy-top-K,75,5,0.6666666666666666,0.4,0.5,0.39999999999999997,2.0,1.0,0.0,1.0,2,2,1,6
Mapping-only,75,5,0.3333333333333333,0.2,0.25,0.16666666666666666,1.0,1.0,0.0,0.0,1,1,2,6
Domain-balanced random,75,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
Random,75,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
BFS-3phase,75,8,1.0,0.375,0.5454545454545454,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,75,8,0.6666666666666666,0.25,0.36363636363636365,0.39999999999999997,2.0,1.0,0.0,1.0,2,2,1,9
Mapping-only,75,8,0.3333333333333333,0.125,0.18181818181818182,0.16666666666666666,1.0,1.0,0.0,0.0,1,1,2,9
Domain-balanced random,75,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
Random,75,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
BFS-3phase,75,12,1.0,0.25,0.4,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,75,12,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.39999999999999997,2.0,1.0,0.0,1.0,2,2,1,13
Mapping-only,75,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.16666666666666666,1.0,1.0,0.0,0.0,1,1,2,13
Domain-balanced random,75,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
Random,75,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
BFS-3phase,76,3,1.0,1.0,1.0,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,76,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4444444444444444,2.0,1.0,1.0,0.0,2,2,1,4
Mapping-only,76,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4,4
Domain-balanced random,76,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
Random,76,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,4,4
BFS-3phase,76,5,1.0,0.6,0.7499999999999999,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,76,5,0.6666666666666666,0.4,0.5,0.4444444444444444,2.0,1.0,1.0,0.0,2,2,1,6
Mapping-only,76,5,0.3333333333333333,0.2,0.25,0.08333333333333333,1.0,1.0,0.0,0.0,1,1,4,6
Domain-balanced random,76,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
Random,76,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,6,6
BFS-3phase,76,8,1.0,0.375,0.5454545454545454,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,76,8,0.6666666666666666,0.25,0.36363636363636365,0.4444444444444444,2.0,1.0,1.0,0.0,2,2,1,9
Mapping-only,76,8,0.3333333333333333,0.125,0.18181818181818182,0.08333333333333333,1.0,1.0,0.0,0.0,1,1,4,9
Domain-balanced random,76,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
Random,76,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,9,9
BFS-3phase,76,12,1.0,0.25,0.4,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,76,12,1.0,0.25,0.4,0.48148148148148145,3.0,1.0,1.0,1.0,3,3,1,9
Mapping-only,76,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.08333333333333333,1.0,1.0,0.0,0.0,1,1,4,13
Domain-balanced random,76,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
Random,76,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
BFS-3phase,77,3,1.0,1.0,1.0,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,77,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Mapping-only,77,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111,1.0,1.0,0.0,0.0,1,1,3,4
Domain-balanced random,77,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
Random,77,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
BFS-3phase,77,5,1.0,0.6,0.7499999999999999,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,77,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Mapping-only,77,5,0.3333333333333333,0.2,0.25,0.1111111111111111,1.0,1.0,0.0,0.0,1,1,3,6
Domain-balanced random,77,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
Random,77,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
BFS-3phase,77,8,1.0,0.375,0.5454545454545454,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,77,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,9
Mapping-only,77,8,0.3333333333333333,0.125,0.18181818181818182,0.1111111111111111,1.0,1.0,0.0,0.0,1,1,3,9
Domain-balanced random,77,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
Random,77,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
BFS-3phase,77,12,1.0,0.25,0.4,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,77,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,13
Mapping-only,77,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.1111111111111111,1.0,1.0,0.0,0.0,1,1,3,13
Domain-balanced random,77,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
Random,77,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
BFS-3phase,78,3,1.0,1.0,1.0,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,78,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,2.0,1.0,0.0,1.0,2,2,1,4
Mapping-only,78,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Domain-balanced random,78,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
Random,78,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,4,4
BFS-3phase,78,5,1.0,0.6,0.7499999999999999,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,78,5,0.6666666666666666,0.4,0.5,0.5,2.0,1.0,0.0,1.0,2,2,1,6
Mapping-only,78,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Domain-balanced random,78,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
Random,78,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
BFS-3phase,78,8,1.0,0.375,0.5454545454545454,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,78,8,0.6666666666666666,0.25,0.36363636363636365,0.5,2.0,1.0,0.0,1.0,2,2,1,9
Mapping-only,78,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,9
Domain-balanced random,78,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
Random,78,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
BFS-3phase,78,12,1.0,0.25,0.4,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,78,12,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.5,2.0,1.0,0.0,1.0,2,2,1,13
Mapping-only,78,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,13
Domain-balanced random,78,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
Random,78,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
BFS-3phase,79,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,2.0,1.0,1.0,0.0,3,2,1,4
Greedy-top-K,79,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Mapping-only,79,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Domain-balanced random,79,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
Random,79,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,4,4
BFS-3phase,79,5,0.6666666666666666,0.4,0.5,0.5,2.0,1.0,1.0,0.0,3,2,1,6
Greedy-top-K,79,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Mapping-only,79,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Domain-balanced random,79,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
Random,79,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,6,6
BFS-3phase,79,8,0.6666666666666666,0.25,0.36363636363636365,0.5,2.0,1.0,1.0,0.0,3,2,1,9
Greedy-top-K,79,8,0.6666666666666666,0.25,0.36363636363636365,0.3888888888888889,2.0,1.0,1.0,0.0,2,2,1,9
Mapping-only,79,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,9
Domain-balanced random,79,8,0.3333333333333333,0.125,0.18181818181818182,0.047619047619047616,1.0,1.0,0.0,0.0,3,1,7,9
Random,79,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,9,9
BFS-3phase,79,12,1.0,0.25,0.4,0.5370370370370371,3.0,1.0,1.0,1.0,3,3,1,9
Greedy-top-K,79,12,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.3888888888888889,2.0,1.0,1.0,0.0,2,2,1,13
Mapping-only,79,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,13
Domain-balanced random,79,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.047619047619047616,1.0,1.0,0.0,0.0,3,1,7,13
Random,79,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
BFS-3phase,80,3,1.0,1.0,1.0,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,80,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Mapping-only,80,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4,4
Domain-balanced random,80,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
Random,80,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
BFS-3phase,80,5,1.0,0.6,0.7499999999999999,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,80,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Mapping-only,80,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6,6
Domain-balanced random,80,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
Random,80,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
